Country,year,lower,middle
"Ireland",2004,.2462,.4521
"Ireland",2005,.2401,.447
"Ireland",2006,.2343,.4412
"Ireland",2007,.24,.4443
"Ireland",2008,.2499,.4563
"Ireland",2009,.2525,.4494
"Ireland",2010,.2471,.45
"Ireland",2011,.2329,.4489
"Ireland",2012,.2356,.455
"Ireland",2013,.224,.4461
"Ireland",2014,.2178,.4076
"Ireland",2015,.2266,.4394
"Ireland",2016,.2238,.4257
"Italy",1971,,
"Italy",1972,,
"Italy",1973,,
"Italy",1974,,
"Italy",1975,,
"Italy",1976,,
"Italy",1977,,
"Italy",1978,,
"Italy",1979,,
"Italy",1980,.3,.4675
"Italy",1981,.3041,.4726
"Italy",1982,.3041,.4741
"Italy",1983,.3032,.4758
"Italy",1984,.3018,.4733
"Italy",1985,.2991,.4711
"Italy",1986,.3013,.4583
"Italy",1987,.2935,.4605
"Italy",1988,.2846,.4602
"Italy",1989,.2797,.4621
"Italy",1990,.2803,.4609
"Italy",1991,.282,.4601
"Italy",1992,.2764,.4631
"Italy",1993,.2687,.4653
"Italy",1994,.2671,.4633
"Italy",1995,.2655,.4573
"Italy",1996,.2593,.4599
"Italy",1997,.2597,.4583
"Italy",1998,.257,.457
"Italy",1999,.2576,.4578
"Italy",2000,.2554,.4529
"Italy",2001,.2548,.451
"Italy",2002,.2566,.453
"Italy",2003,.2571,.4527
"Italy",2004,.2575,.4528
"Italy",2005,.2587,.4522
"Italy",2006,.2566,.453
"Italy",2007,.2565,.4518
"Italy",2008,.2581,.4527
"Italy",2009,.2595,.4536
"Italy",2010,.2563,.4517
"Italy",2011,.2525,.4528
"Italy",2012,.2542,.4528
"Italy",2013,.2528,.4587
"Italy",2014,.2495,.4592
"Italy",2015,.2508,.463
"Italy",2016,.2439,.4616
"Netherlands",1971,,
"Netherlands",1972,,
"Netherlands",1973,,
"Netherlands",1974,,
"Netherlands",1975,,
"Netherlands",1976,,
"Netherlands",1977,,
"Netherlands",1978,,
"Netherlands",1979,,
"Netherlands",1980,.2756,.4779
"Netherlands",1981,.2742,.4782
"Netherlands",1982,.2734,.4778
"Netherlands",1983,.2728,.4768
"Netherlands",1984,.271,.4771
"Netherlands",1985,.2686,.4786
"Netherlands",1986,.2689,.4793
"Netherlands",1987,.2692,.4802
"Netherlands",1988,.2693,.481
"Netherlands",1989,.2696,.4816
"Netherlands",1990,.2688,.4852
"Netherlands",1991,.2677,.487
"Netherlands",1992,.2665,.4893
"Netherlands",1993,.2645,.4914
"Netherlands",1994,.2653,.4881
"Netherlands",1995,.2674,.4846
"Netherlands",1996,.2728,.4808
"Netherlands",1997,.2759,.4779
"Netherlands",1998,.2801,.475
"Netherlands",1999,.2824,.4724
"Netherlands",2000,.2833,.4721
"Netherlands",2001,.2733,.4689
"Netherlands",2002,.2701,.4711
"Netherlands",2003,.268,.4732
"Netherlands",2004,.2641,.4723
"Netherlands",2005,.2611,.4734
"Netherlands",2006,.2584,.4751
"Netherlands",2007,.254,.4687
"Netherlands",2008,.2581,.4751
"Netherlands",2009,.2632,.474
"Netherlands",2010,.2641,.4737
"Netherlands",2011,.2625,.4736
"Netherlands",2012,.2614,.4754
"Netherlands",2013,.2511,.4804
"Netherlands",2014,.2468,.4778
"Netherlands",2015,.2404,.4737
"Netherlands",2016,.2459,.475
"Norway",1971,,
"Norway",1972,,
"Norway",1973,,
"Norway",1974,,
"Norway",1975,,
"Norway",1976,,
"Norway",1977,,
"Norway",1978,,
"Norway",1979,,
"Norway",1980,.2846,.4723
"Norway",1981,.2908,.4709
"Norway",1982,.2945,.4706
"Norway",1983,.3004,.4692
"Norway",1984,.3031,.4643
"Norway",1985,.3045,.4621
"Norway",1986,.3174,.4673
"Norway",1987,.3182,.4682
"Norway",1988,.3229,.4697
"Norway",1989,.3289,.4641
"Norway",1990,.326,.464
"Norway",1991,.327,.4622
"Norway",1992,.3282,.4531
"Norway",1993,.3133,.452
"Norway",1994,.3035,.4512
"Norway",1995,.3039,.4511
"Norway",1996,.2968,.4455
"Norway",1997,.2898,.4412
"Norway",1998,.3002,.4468
"Norway",1999,.2974,.4425
"Norway",2000,.2877,.4312
"Norway",2001,.3016,.4418
"Norway",2002,.299,.4345
"Norway",2003,.2963,.4306
"Norway",2004,.2837,.4277
"Norway",2005,.2609,.412
"Norway",2006,.2869,.4413
"Norway",2007,.2842,.4405
"Norway",2008,.2921,.4325
"Norway",2009,.2967,.439
"Norway",2010,.29,.438
"Norway",2011,.288,.4376
"Norway",2012,.2902,.4409
"Norway",2013,.2897,.4433
"Norway",2014,.287,.4396
"Norway",2015,.2886,.446
"Norway",2016,.285,.4398
"Sweden",1971,,
"Sweden",1972,,
"Sweden",1973,,
"Sweden",1974,,
"Sweden",1975,,
"Sweden",1976,,
"Sweden",1977,,
"Sweden",1978,,
"Sweden",1979,,
"Sweden",1980,.3078,.4707
"Sweden",1981,.3109,.4694
"Sweden",1982,.3101,.4637
"Sweden",1983,.3097,.4621
"Sweden",1984,.3116,.4528
"Sweden",1985,.3131,.4524
"Sweden",1986,.3151,.4524
"Sweden",1987,.3141,.4529
"Sweden",1988,.3138,.45
"Sweden",1989,.3178,.4504
"Sweden",1990,.3191,.4571
"Sweden",1991,.3107,.4564
"Sweden",1992,.3118,.4555
"Sweden",1993,.3081,.4516
"Sweden",1994,.2996,.4406
"Sweden",1995,.2975,.438
"Sweden",1996,.2999,.4393
"Sweden",1997,.2972,.4374
"Sweden",1998,.2992,.4389
"Sweden",1999,.2982,.4384
"Sweden",2000,.3125,.4271
"Sweden",2001,.3133,.4314
"Sweden",2002,.3142,.4295
"Sweden",2003,.3146,.4227
"Sweden",2004,.3055,.43
"Sweden",2005,.3004,.4307
"Sweden",2006,.2907,.4311
"Sweden",2007,.2889,.4363
"Sweden",2008,.2856,.4464
"Sweden",2009,.2877,.4529
"Sweden",2010,.2773,.4522
"Sweden",2011,.2784,.4555
"Sweden",2012,.2863,.4492
"Sweden",2013,.2818,.453
"Sweden",2014,.2742,.4451
"Sweden",2015,.2716,.4471
"Sweden",2016,.2738,.4495
"Switzerland",1971,,
"Switzerland",1972,,
"Switzerland",1973,,
"Switzerland",1974,,
"Switzerland",1975,,
"Switzerland",1976,,
"Switzerland",1977,,
"Switzerland",1978,,
"Switzerland",1979,,
"Switzerland",1980,.2756,.4405
"Switzerland",1981,.2755,.4407
"Switzerland",1982,.2751,.439
"Switzerland",1983,.2742,.4377
"Switzerland",1984,.2726,.4376
"Switzerland",1985,.271,.4375
"Switzerland",1986,.2706,.4378
"Switzerland",1987,.2704,.4382
"Switzerland",1988,.2714,.4406
"Switzerland",1989,.2724,.443
"Switzerland",1990,.2712,.4422
"Switzerland",1991,.2733,.4445
"Switzerland",1992,.2743,.4483
"Switzerland",1993,.2738,.4492
"Switzerland",1994,.2759,.447
"Switzerland",1995,.2783,.4451
"Switzerland",1996,.2713,.4394
"Switzerland",1997,.2657,.4336
"Switzerland",1998,.2642,.4329
"Switzerland",1999,.2658,.433
"Switzerland",2000,.2645,.4315
"Switzerland",2001,.2688,.4327
"Switzerland",2002,.2728,.4358
"Switzerland",2003,.2662,.4337
"Switzerland",2004,.2641,.4301
"Switzerland",2005,.2596,.4286
"Switzerland",2006,.2578,.4248
"Switzerland",2007,.2616,.4248
"Switzerland",2008,.2633,.4257
"Switzerland",2009,.2592,.425
"Switzerland",2010,.2612,.4243
"Switzerland",2011,.2618,.4282
"Switzerland",2012,.2602,.4276
"Switzerland",2013,.2599,.4225
"Switzerland",2014,.2608,.4241
"Switzerland",2015,.2573,.4246
"Switzerland",2016,.2557,.4218
"United Kingdom",1971,,
"United Kingdom",1972,,
"United Kingdom",1973,,
"United Kingdom",1974,,
"United Kingdom",1975,,
"United Kingdom",1976,,
"United Kingdom",1977,,
"United Kingdom",1978,,
"United Kingdom",1979,,
"United Kingdom",1980,,
"United Kingdom",1981,.23700986,.47679001
"United Kingdom",1982,.23399939,.47815923
"United Kingdom",1983,.22922988,.47859144
"United Kingdom",1984,.22571093,.47585838
"United Kingdom",1985,.22107588,.47941768
"United Kingdom",1986,.21767066,.48039598
"United Kingdom",1987,.21551197,.47980318
"United Kingdom",1988,.21293249,.47457328
"United Kingdom",1989,.21643718,.47151447
"United Kingdom",1990,.21295786,.47776369
"United Kingdom",1991,.21283403,.47633986
"United Kingdom",1992,.21368713,.47703961
"United Kingdom",1993,.20926662,.4722322
"United Kingdom",1994,.20911042,.46765387
"United Kingdom",1995,.20326819,.47330935
"United Kingdom",1996,.20331454,.46470905
"United Kingdom",1997,.20759025,.46414721
"United Kingdom",1998,.20940056,.45989337
"United Kingdom",1999,.2028155,.45712121
"United Kingdom",2000,.20887152,.45589331
"United Kingdom",2001,.20749368,.45427407
"United Kingdom",2002,.20809206,.45267364
"United Kingdom",2003,.20541905,.44740318
"United Kingdom",2004,.20968137,.44814961
"United Kingdom",2005,.20677218,.4423331
"United Kingdom",2006,.20495532,.43821452
"United Kingdom",2007,.20458866,.43345563
"United Kingdom",2008,.2177343,.44504077
"United Kingdom",2009,.20926357,.44047139
"United Kingdom",2010,.22530577,.45853556
"United Kingdom",2011,.22032339,.4522774
"United Kingdom",2012,.22026472,.45134511
"United Kingdom",2013,.20968914,.43763018
"United Kingdom",2014,.21972534,.44274023
"United Kingdom",2015,.21699488,.43312997
"United Kingdom",2016,.22226003,.43729197
